temperature_K,time_s,species,phase,mean_count,fraction_per_initial_motif
325.0,0.35000000000000003,terminal_NH2_F3_HF,surface,0.0,0.0
325.0,0.35000000000000003,Si_H_rich_F0,surface,95.3828125,0.0953828125
325.0,0.35000000000000003,Si_H_rich_F1,surface,0.0,0.0
325.0,0.35000000000000003,Si_H_rich_F2,surface,0.0,0.0
325.0,0.35000000000000003,Si_H_rich_F3,surface,0.0,0.0
325.0,0.35000000000000003,Si_H_rich_residual,surface,0.0,0.0
325.0,0.35000000000000003,Si_H_rich_F0_HF,surface,4.6171875,0.0046171875
325.0,0.35000000000000003,Si_H_rich_F1_HF,surface,0.0,0.0
325.0,0.35000000000000003,Si_H_rich_F2_HF,surface,0.0,0.0
325.0,0.35000000000000003,Si_H_rich_F3_HF,surface,0.0,0.0
325.0,0.35000000000000003,bridge_N_F0,surface,128.8515625,0.1288515625
325.0,0.35000000000000003,bridge_N_F1,surface,14.1171875,0.0141171875
325.0,0.35000000000000003,bridge_N_F2,surface,0.234375,0.000234375
325.0,0.35000000000000003,bridge_N_F3,surface,0.0,0.0
325.0,0.35000000000000003,bridge_N_residual,surface,0.0,0.0
325.0,0.35000000000000003,bridge_N_F0_HF,surface,6.1328125,0.0061328125
325.0,0.35000000000000003,bridge_N_F1_HF,surface,0.65625,0.00065625
325.0,0.35000000000000003,bridge_N_F2_HF,surface,0.0078125,7.8125e-06
325.0,0.35000000000000003,bridge_N_F3_HF,surface,0.0,0.0
325.0,0.35000000000000003,pre_SiH2F,surface,94.9453125,0.0949453125
325.0,0.35000000000000003,pre_SiH2F_HF,surface,4.625,0.004625
325.0,0.35000000000000003,pre_SiH2F_residual,surface,0.4296875,0.0004296875
325.0,0.35000000000000003,pre_SiHF2,surface,95.0078125,0.0950078125
325.0,0.35000000000000003,pre_SiHF2_HF,surface,4.9921875,0.0049921875
325.0,0.35000000000000003,pre_SiHF2_residual,surface,0.0,0.0
325.0,0.35000000000000003,Si_Si_F1,surface,94.5234375,0.0945234375
325.0,0.35000000000000003,Si_Si_F1_HF,surface,4.4765625,0.0044765625
325.0,0.35000000000000003,Si_Si_cleaved_F2_H,surface,1.0,0.001
325.0,0.35000000000000003,HF,reservoir_net,-459.4296875,-0.4594296875
325.0,0.35000000000000003,H2,gas_product,0.0,0.0
325.0,0.35000000000000003,NH3,gas_product,150.1875,0.1501875
